cell_id,replicate,model,harness_config,scaffold,base_model,routing,language,task,status,requirement_coverage,code_quality,cost_per_task,latency_s,tokens,runner,notes,x_raw_model
metaharness-rest-api-crud-go-glm-5.2,3,glm-5.2,metaharness,none,glm-5.2,off,go,rest-api-crud,pass,1.0,0.9555555555555556,0.017129,42.346395725006005,9364,metaharness,req_cov_raw=1.0,glm-5.2
metaharness-rest-api-crud-go-deepseek-v4-pro,1,deepseek-v4-pro,metaharness,none,deepseek-v4-pro,off,go,rest-api-crud,pass,1.0,0.9555555555555556,0.089447,305.91368461199454,103422,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-typescript-deepseek-v4-pro,2,deepseek-v4-pro,metaharness,none,deepseek-v4-pro,off,typescript,rest-api-crud,pass,1.0,0.7333333333333334,0.021912,145.1503373059968,20570,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-typescript-glm-5.2,2,glm-5.2,metaharness,none,glm-5.2,off,typescript,rest-api-crud,pass,1.0,0.7333333333333334,0.029081,126.94424802300637,12050,metaharness,req_cov_raw=1.0,glm-5.2
metaharness-rest-api-crud-rust-deepseek-v4-pro,3,deepseek-v4-pro,metaharness,none,deepseek-v4-pro,off,rust,rest-api-crud,pass,1.0,0.8333333333333334,0.044932,249.25714115001028,35932,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-rust-glm-5.2,2,glm-5.2,metaharness,none,glm-5.2,off,rust,rest-api-crud,pass,1.0,0.6666666666666666,0.189774,589.6443272269971,113892,metaharness,req_cov_raw=1.0,glm-5.2
metaharness-rest-api-crud-rust-glm-5.2,3,glm-5.2,metaharness,none,glm-5.2,off,rust,rest-api-crud,pass,1.0,0.8333333333333334,0.137906,655.3576431620168,105871,metaharness,req_cov_raw=1.0,glm-5.2
metaharness-rest-api-crud-rust-glm-5.2,1,glm-5.2,metaharness,none,glm-5.2,off,rust,rest-api-crud,pass,1.0,0.6666666666666666,0.175531,1036.9744518130028,112219,metaharness,req_cov_raw=1.0,glm-5.2
metaharness-rest-api-crud-go-deepseek-v4-pro,3,deepseek-v4-pro,metaharness,none,deepseek-v4-pro,off,go,rest-api-crud,pass,1.0,0.9555555555555556,0.034541,205.1523594239843,36106,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-go-deepseek-v4-pro,2,deepseek-v4-pro,metaharness,none,deepseek-v4-pro,off,go,rest-api-crud,pass,1.0,0.7888888888888889,0.116289,841.1649517899787,135956,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-go-glm-5.2,2,glm-5.2,metaharness,none,glm-5.2,off,go,rest-api-crud,pass,1.0,0.9555555555555556,0.0311,157.04535576302442,12437,metaharness,req_cov_raw=1.0,glm-5.2
metaharness-rest-api-crud-rust-deepseek-v4-pro,2,deepseek-v4-pro,metaharness,none,deepseek-v4-pro,off,rust,rest-api-crud,pass,1.0,0.8333333333333334,0.114042,455.435002208018,51782,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-python-deepseek-v4-pro,3,deepseek-v4-pro,metaharness,none,deepseek-v4-pro,off,python,rest-api-crud,pass,1.0,0.7888888888888889,0.011741,117.91467657798785,12997,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-typescript-deepseek-v4-pro,3,deepseek-v4-pro,metaharness,none,deepseek-v4-pro,off,typescript,rest-api-crud,pass,1.0,0.5666666666666667,0.101777,687.2167475530005,103957,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-python-deepseek-v4-pro,1,deepseek-v4-pro,metaharness,none,deepseek-v4-pro,off,python,cli-data-pipeline,pass,1.0,0.8333333333333334,0.013231,166.12457461399026,21642,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-python-glm-5.2,1,glm-5.2,metaharness,none,glm-5.2,off,python,cli-data-pipeline,pass,0.75,0.6222222222222222,0.14315,425.56262985701323,99258,metaharness,req_cov_raw=0.75,glm-5.2
metaharness-cli-data-pipeline-typescript-glm-5.2,1,glm-5.2,metaharness,none,glm-5.2,off,typescript,cli-data-pipeline,fail,0.5,0.0,0.113528,178.279169499001,95357,metaharness,req_cov_raw=0.5,glm-5.2
metaharness-cli-data-pipeline-rust-deepseek-v4-pro,1,deepseek-v4-pro,metaharness,none,deepseek-v4-pro,off,rust,cli-data-pipeline,pass,0.9090909090909091,0.6666666666666666,0.144258,947.5523309310083,129381,metaharness,req_cov_raw=0.9090909090909091,deepseek-v4-pro
metaharness-cli-data-pipeline-typescript-deepseek-v4-pro,1,deepseek-v4-pro,metaharness,none,deepseek-v4-pro,off,typescript,cli-data-pipeline,pass,1.0,0.5666666666666667,0.116847,775.1859915129899,86900,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-go-deepseek-v4-pro,1,deepseek-v4-pro,metaharness,none,deepseek-v4-pro,off,go,cli-data-pipeline,pass,0.9090909090909091,0.9555555555555556,0.041569,109.94313370500458,35762,metaharness,req_cov_raw=0.9090909090909091,deepseek-v4-pro
metaharness-cli-data-pipeline-go-glm-5.2,1,glm-5.2,metaharness,none,glm-5.2,off,go,cli-data-pipeline,pass,1.0,0.7888888888888889,0.239128,1124.3406685320078,131607,metaharness,req_cov_raw=1.0,glm-5.2
metaharness-cli-data-pipeline-rust-glm-5.2,1,glm-5.2,metaharness,none,glm-5.2,off,rust,cli-data-pipeline,pass,1.0,0.8333333333333334,0.087057,242.45472458799486,42791,metaharness,req_cov_raw=1.0,glm-5.2
metaharness-cli-data-pipeline-python-glm-5.2,3,glm-5.2,metaharness,none,glm-5.2,off,python,cli-data-pipeline,pass,1.0,0.7888888888888889,0.0342,323.71773931899224,9842,metaharness,req_cov_raw=1.0,glm-5.2
metaharness-cli-data-pipeline-python-deepseek-v4-pro,2,deepseek-v4-pro,metaharness,none,deepseek-v4-pro,off,python,cli-data-pipeline,pass,1.0,0.6666666666666666,0.108756,1135.8667378589744,112649,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-python-glm-5.2,2,glm-5.2,metaharness,none,glm-5.2,off,python,cli-data-pipeline,pass,1.0,0.7888888888888889,0.020824,86.07870314997854,7927,metaharness,req_cov_raw=1.0,glm-5.2
metaharness-cli-data-pipeline-go-deepseek-v4-pro,2,deepseek-v4-pro,metaharness,none,deepseek-v4-pro,off,go,cli-data-pipeline,pass,1.0909090909090908,0.0,0.109817,802.0961093000078,151337,metaharness,req_cov_raw=1.0909090909090908,deepseek-v4-pro
metaharness-cli-data-pipeline-typescript-glm-5.2,3,glm-5.2,metaharness,none,glm-5.2,off,typescript,cli-data-pipeline,fail,0.9090909090909091,0.0,0.204405,502.45678792201215,109089,metaharness,req_cov_raw=0.9090909090909091,glm-5.2
metaharness-cli-data-pipeline-go-glm-5.2,2,glm-5.2,metaharness,none,glm-5.2,off,go,cli-data-pipeline,pass,1.0,0.0,0.073701,262.76936739400844,42573,metaharness,req_cov_raw=1.0,glm-5.2
metaharness-cli-data-pipeline-go-glm-5.2,3,glm-5.2,metaharness,none,glm-5.2,off,go,cli-data-pipeline,fail,0.9091,1.0,0.091014,388.5564068329986,55190,metaharness,req_cov_raw=0.9091,glm-5.2
metaharness-cli-data-pipeline-typescript-deepseek-v4-pro,2,deepseek-v4-pro,metaharness,none,deepseek-v4-pro,off,typescript,cli-data-pipeline,fail,0.0,0.0,0.0,1200.064750185993,0,metaharness,req_cov_raw=None,deepseek-v4-pro
metaharness-cli-data-pipeline-rust-deepseek-v4-pro,2,deepseek-v4-pro,metaharness,none,deepseek-v4-pro,off,rust,cli-data-pipeline,fail,0.8333,0.0,0.177581,1067.5636988360202,159585,metaharness,req_cov_raw=0.8333,deepseek-v4-pro
metaharness-cli-data-pipeline-typescript-glm-5.2,2,glm-5.2,metaharness,none,glm-5.2,off,typescript,cli-data-pipeline,fail,0.2,0.0,0.191598,668.2683420430112,110877,metaharness,req_cov_raw=0.2,glm-5.2
metaharness-cli-data-pipeline-rust-glm-5.2,2,glm-5.2,metaharness,none,glm-5.2,off,rust,cli-data-pipeline,pass,1.0,0.8333333333333334,0.11007,142.85961932700593,30149,metaharness,req_cov_raw=1.0,glm-5.2
metaharness-cli-data-pipeline-rust-deepseek-v4-pro,3,deepseek-v4-pro,metaharness,none,deepseek-v4-pro,off,rust,cli-data-pipeline,fail,0.8182,0.6666666666666666,0.195882,1421.672884022002,185222,metaharness,req_cov_raw=0.8182,deepseek-v4-pro
metaharness-cli-data-pipeline-python-deepseek-v4-pro,3,deepseek-v4-pro,metaharness,none,deepseek-v4-pro,off,python,cli-data-pipeline,fail,0.0,0.7888888888888889,0.137713,933.2853073030128,154018,metaharness,req_cov_raw=0.0,deepseek-v4-pro
metaharness-cli-data-pipeline-rust-glm-5.2,3,glm-5.2,metaharness,none,glm-5.2,off,rust,cli-data-pipeline,pass,1.0,0.7888888888888889,0.111628,198.495314994012,69624,metaharness,req_cov_raw=1.0,glm-5.2
metaharness-cli-data-pipeline-go-deepseek-v4-pro,3,deepseek-v4-pro,metaharness,none,deepseek-v4-pro,off,go,cli-data-pipeline,pass,1.0,1.0,0.214952,841.6741229269828,170884,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-typescript-deepseek-v4-pro,3,deepseek-v4-pro,metaharness,none,deepseek-v4-pro,off,typescript,cli-data-pipeline,fail,0.0,0.0,0.0,1200.0384902520163,0,metaharness,req_cov_raw=None,deepseek-v4-pro
